"GEO_ID","NAME","B25077_001E","B25077_001M","X"
"1400000US53033000101","Census Tract 1.01; King County; Washington","808700","227076",NA
"1400000US53033000102","Census Tract 1.02; King County; Washington","934600","151195",NA
"1400000US53033000201","Census Tract 2.01; King County; Washington","705400","154100",NA
"1400000US53033000202","Census Tract 2.02; King County; Washington","800700","59920",NA
"1400000US53033000300","Census Tract 3; King County; Washington","652500","19220",NA
"1400000US53033000402","Census Tract 4.02; King County; Washington","792900","74573",NA
"1400000US53033000403","Census Tract 4.03; King County; Washington","626300","80600",NA
"1400000US53033000404","Census Tract 4.04; King County; Washington","394100","93006",NA
"1400000US53033000500","Census Tract 5; King County; Washington","1148400","45152",NA
"1400000US53033000601","Census Tract 6.01; King County; Washington","836400","46800",NA
"1400000US53033000602","Census Tract 6.02; King County; Washington","695500","77013",NA
"1400000US53033000700","Census Tract 7; King County; Washington","797600","79916",NA
"1400000US53033000800","Census Tract 8; King County; Washington","871300","31473",NA
"1400000US53033000900","Census Tract 9; King County; Washington","1169600","98556",NA
"1400000US53033001000","Census Tract 10; King County; Washington","928600","37170",NA
"1400000US53033001100","Census Tract 11; King County; Washington","877900","29526",NA
"1400000US53033001201","Census Tract 12.01; King County; Washington","533100","264740",NA
"1400000US53033001202","Census Tract 12.02; King County; Washington","707400","143329",NA
"1400000US53033001300","Census Tract 13; King County; Washington","767500","70084",NA
"1400000US53033001400","Census Tract 14; King County; Washington","823300","49759",NA
"1400000US53033001500","Census Tract 15; King County; Washington","1130800","64469",NA
"1400000US53033001600","Census Tract 16; King County; Washington","1299700","132462",NA
"1400000US53033001701","Census Tract 17.01; King County; Washington","618900","61604",NA
"1400000US53033001702","Census Tract 17.02; King County; Washington","871700","60028",NA
"1400000US53033001800","Census Tract 18; King County; Washington","811500","85444",NA
"1400000US53033001900","Census Tract 19; King County; Washington","875900","58004",NA
"1400000US53033002000","Census Tract 20; King County; Washington","881400","39680",NA
"1400000US53033002100","Census Tract 21; King County; Washington","901900","61144",NA
"1400000US53033002200","Census Tract 22; King County; Washington","1135800","59222",NA
"1400000US53033002400","Census Tract 24; King County; Washington","1103800","42748",NA
"1400000US53033002500","Census Tract 25; King County; Washington","990100","62322",NA
"1400000US53033002600","Census Tract 26; King County; Washington","1045500","67795",NA
"1400000US53033002700","Census Tract 27; King County; Washington","1010500","82669",NA
"1400000US53033002800","Census Tract 28; King County; Washington","948900","65641",NA
"1400000US53033002900","Census Tract 29; King County; Washington","1057000","49561",NA
"1400000US53033003000","Census Tract 30; King County; Washington","986900","50475",NA
"1400000US53033003100","Census Tract 31; King County; Washington","1052500","73724",NA
"1400000US53033003201","Census Tract 32.01; King County; Washington","1093500","102576",NA
"1400000US53033003202","Census Tract 32.02; King County; Washington","1001500","80073",NA
"1400000US53033003301","Census Tract 33.01; King County; Washington","1061500","55163",NA
"1400000US53033003302","Census Tract 33.02; King County; Washington","919800","72868",NA
"1400000US53033003400","Census Tract 34; King County; Washington","1081800","58769",NA
"1400000US53033003500","Census Tract 35; King County; Washington","1165400","70376",NA
"1400000US53033003601","Census Tract 36.01; King County; Washington","924800","143118",NA
"1400000US53033003602","Census Tract 36.02; King County; Washington","850500","125012",NA
"1400000US53033003800","Census Tract 38; King County; Washington","1102700","65492",NA
"1400000US53033003900","Census Tract 39; King County; Washington","1199300","78896",NA
"1400000US53033004000","Census Tract 40; King County; Washington","1168500","153398",NA
"1400000US53033004101","Census Tract 41.01; King County; Washington","2,000,000+","***",NA
"1400000US53033004102","Census Tract 41.02; King County; Washington","1457000","230385",NA
"1400000US53033004201","Census Tract 42.01; King County; Washington","1267300","92022",NA
"1400000US53033004202","Census Tract 42.02; King County; Washington","1103700","59732",NA
"1400000US53033004301","Census Tract 43.01; King County; Washington","1087900","67971",NA
"1400000US53033004302","Census Tract 43.02; King County; Washington","687500","197504",NA
"1400000US53033004401","Census Tract 44.01; King County; Washington","1281600","164900",NA
"1400000US53033004402","Census Tract 44.02; King County; Washington","1003700","106607",NA
"1400000US53033004500","Census Tract 45; King County; Washington","1012100","93380",NA
"1400000US53033004600","Census Tract 46; King County; Washington","1181300","63682",NA
"1400000US53033004701","Census Tract 47.01; King County; Washington","574400","71748",NA
"1400000US53033004702","Census Tract 47.02; King County; Washington","617900","89263",NA
"1400000US53033004703","Census Tract 47.03; King County; Washington","967800","102599",NA
"1400000US53033004800","Census Tract 48; King County; Washington","1059700","77812",NA
"1400000US53033004901","Census Tract 49.01; King County; Washington","1015100","208518",NA
"1400000US53033004902","Census Tract 49.02; King County; Washington","922400","51580",NA
"1400000US53033005000","Census Tract 50; King County; Washington","1167700","65441",NA
"1400000US53033005100","Census Tract 51; King County; Washington","1180500","56590",NA
"1400000US53033005201","Census Tract 52.01; King County; Washington","1098500","92744",NA
"1400000US53033005202","Census Tract 52.02; King County; Washington","668900","114345",NA
"1400000US53033005303","Census Tract 53.03; King County; Washington","-","**",NA
"1400000US53033005304","Census Tract 53.04; King County; Washington","-","**",NA
"1400000US53033005305","Census Tract 53.05; King County; Washington","-","**",NA
"1400000US53033005306","Census Tract 53.06; King County; Washington","-","**",NA
"1400000US53033005307","Census Tract 53.07; King County; Washington","-","**",NA
"1400000US53033005401","Census Tract 54.01; King County; Washington","911600","307560",NA
"1400000US53033005402","Census Tract 54.02; King County; Washington","1103800","58470",NA
"1400000US53033005600","Census Tract 56; King County; Washington","1417400","136868",NA
"1400000US53033005700","Census Tract 57; King County; Washington","1145100","49334",NA
"1400000US53033005801","Census Tract 58.01; King County; Washington","818000","88098",NA
"1400000US53033005803","Census Tract 58.03; King County; Washington","1111300","111740",NA
"1400000US53033005804","Census Tract 58.04; King County; Washington","580800","114940",NA
"1400000US53033005901","Census Tract 59.01; King County; Washington","887600","134388",NA
"1400000US53033005902","Census Tract 59.02; King County; Washington","1246200","131701",NA
"1400000US53033006000","Census Tract 60; King County; Washington","1113300","65892",NA
"1400000US53033006100","Census Tract 61; King County; Washington","1210000","137206",NA
"1400000US53033006200","Census Tract 62; King County; Washington","1498500","104149",NA
"1400000US53033006300","Census Tract 63; King County; Washington","2,000,000+","***",NA
"1400000US53033006400","Census Tract 64; King County; Washington","1525000","307887",NA
"1400000US53033006500","Census Tract 65; King County; Washington","1401800","119703",NA
"1400000US53033006600","Census Tract 66; King County; Washington","949800","159364",NA
"1400000US53033006701","Census Tract 67.01; King County; Washington","675000","271405",NA
"1400000US53033006702","Census Tract 67.02; King County; Washington","1056500","653841",NA
"1400000US53033006703","Census Tract 67.03; King County; Washington","871200","538154",NA
"1400000US53033006800","Census Tract 68; King County; Washington","1566600","82050",NA
"1400000US53033006900","Census Tract 69; King County; Washington","1304800","148725",NA
"1400000US53033007001","Census Tract 70.01; King County; Washington","590300","177970",NA
"1400000US53033007002","Census Tract 70.02; King County; Washington","698400","157857",NA
"1400000US53033007101","Census Tract 71.01; King County; Washington","540300","102334",NA
"1400000US53033007102","Census Tract 71.02; King County; Washington","675200","62909",NA
"1400000US53033007201","Census Tract 72.01; King County; Washington","980800","191210",NA
"1400000US53033007202","Census Tract 72.02; King County; Washington","893300","246034",NA
"1400000US53033007203","Census Tract 72.03; King County; Washington","450500","39530",NA
"1400000US53033007301","Census Tract 73.01; King County; Washington","-","**",NA
"1400000US53033007302","Census Tract 73.02; King County; Washington","898400","157093",NA
"1400000US53033007303","Census Tract 73.03; King County; Washington","687500","558317",NA
"1400000US53033007403","Census Tract 74.03; King County; Washington","423600","67180",NA
"1400000US53033007404","Census Tract 74.04; King County; Washington","551800","139571",NA
"1400000US53033007405","Census Tract 74.05; King County; Washington","476200","128092",NA
"1400000US53033007406","Census Tract 74.06; King County; Washington","593100","217119",NA
"1400000US53033007501","Census Tract 75.01; King County; Washington","680100","73758",NA
"1400000US53033007502","Census Tract 75.02; King County; Washington","450900","158456",NA
"1400000US53033007503","Census Tract 75.03; King County; Washington","688600","126780",NA
"1400000US53033007600","Census Tract 76; King County; Washington","972600","165246",NA
"1400000US53033007700","Census Tract 77; King County; Washington","1013700","134509",NA
"1400000US53033007800","Census Tract 78; King County; Washington","1669600","317040",NA
"1400000US53033007901","Census Tract 79.01; King County; Washington","714500","190413",NA
"1400000US53033007902","Census Tract 79.02; King County; Washington","922400","122234",NA
"1400000US53033008002","Census Tract 80.02; King County; Washington","1158300","199547",NA
"1400000US53033008003","Census Tract 80.03; King County; Washington","661600","62948",NA
"1400000US53033008004","Census Tract 80.04; King County; Washington","635800","62801",NA
"1400000US53033008101","Census Tract 81.01; King County; Washington","962700","160402",NA
"1400000US53033008102","Census Tract 81.02; King County; Washington","1084800","440377",NA
"1400000US53033008200","Census Tract 82; King County; Washington","718400","195328",NA
"1400000US53033008300","Census Tract 83; King County; Washington","498400","89369",NA
"1400000US53033008401","Census Tract 84.01; King County; Washington","615900","295271",NA
"1400000US53033008402","Census Tract 84.02; King County; Washington","499200","105135",NA
"1400000US53033008500","Census Tract 85; King County; Washington","669000","157588",NA
"1400000US53033008600","Census Tract 86; King County; Washington","672200","92131",NA
"1400000US53033008700","Census Tract 87; King County; Washington","936200","51597",NA
"1400000US53033008800","Census Tract 88; King County; Washington","987300","90568",NA
"1400000US53033008900","Census Tract 89; King County; Washington","922900","69250",NA
"1400000US53033009000","Census Tract 90; King County; Washington","789100","62732",NA
"1400000US53033009100","Census Tract 91; King County; Washington","463400","27202",NA
"1400000US53033009200","Census Tract 92; King County; Washington","576800","188690",NA
"1400000US53033009300","Census Tract 93; King County; Washington","714600","118818",NA
"1400000US53033009400","Census Tract 94; King County; Washington","812400","41245",NA
"1400000US53033009500","Census Tract 95; King County; Washington","1100100","60222",NA
"1400000US53033009600","Census Tract 96; King County; Washington","923900","58060",NA
"1400000US53033009701","Census Tract 97.01; King County; Washington","1067200","97441",NA
"1400000US53033009702","Census Tract 97.02; King County; Washington","979700","60046",NA
"1400000US53033009801","Census Tract 98.01; King County; Washington","948800","60829",NA
"1400000US53033009802","Census Tract 98.02; King County; Washington","878000","58592",NA
"1400000US53033009900","Census Tract 99; King County; Washington","788200","69626",NA
"1400000US53033010001","Census Tract 100.01; King County; Washington","834400","47485",NA
"1400000US53033010002","Census Tract 100.02; King County; Washington","830800","29264",NA
"1400000US53033010101","Census Tract 101.01; King County; Washington","841000","42595",NA
"1400000US53033010102","Census Tract 101.02; King County; Washington","949100","112182",NA
"1400000US53033010200","Census Tract 102; King County; Washington","961700","63083",NA
"1400000US53033010301","Census Tract 103.01; King County; Washington","700000","44877",NA
"1400000US53033010302","Census Tract 103.02; King County; Washington","877100","72564",NA
"1400000US53033010401","Census Tract 104.01; King County; Washington","728000","66919",NA
"1400000US53033010402","Census Tract 104.02; King County; Washington","701500","74594",NA
"1400000US53033010501","Census Tract 105.01; King County; Washington","792100","103138",NA
"1400000US53033010502","Census Tract 105.02; King County; Washington","794000","81334",NA
"1400000US53033010601","Census Tract 106.01; King County; Washington","808200","79754",NA
"1400000US53033010602","Census Tract 106.02; King County; Washington","1028700","121226",NA
"1400000US53033010701","Census Tract 107.01; King County; Washington","650900","35961",NA
"1400000US53033010702","Census Tract 107.02; King County; Washington","695400","46502",NA
"1400000US53033010800","Census Tract 108; King County; Washington","675600","25728",NA
"1400000US53033010900","Census Tract 109; King County; Washington","670200","32748",NA
"1400000US53033011001","Census Tract 110.01; King County; Washington","636900","37561",NA
"1400000US53033011002","Census Tract 110.02; King County; Washington","632700","21886",NA
"1400000US53033011101","Census Tract 111.01; King County; Washington","664500","50530",NA
"1400000US53033011102","Census Tract 111.02; King County; Washington","923300","73927",NA
"1400000US53033011200","Census Tract 112; King County; Washington","618500","29563",NA
"1400000US53033011300","Census Tract 113; King County; Washington","671700","41181",NA
"1400000US53033011401","Census Tract 114.01; King County; Washington","644200","49359",NA
"1400000US53033011402","Census Tract 114.02; King County; Washington","601100","28351",NA
"1400000US53033011500","Census Tract 115; King County; Washington","729200","40407",NA
"1400000US53033011601","Census Tract 116.01; King County; Washington","941100","63886",NA
"1400000US53033011602","Census Tract 116.02; King County; Washington","890600","52430",NA
"1400000US53033011700","Census Tract 117; King County; Washington","647900","30525",NA
"1400000US53033011801","Census Tract 118.01; King County; Washington","658000","41263",NA
"1400000US53033011802","Census Tract 118.02; King County; Washington","644200","110614",NA
"1400000US53033011901","Census Tract 119.01; King County; Washington","634900","76586",NA
"1400000US53033011902","Census Tract 119.02; King County; Washington","649700","50059",NA
"1400000US53033012000","Census Tract 120; King County; Washington","682700","28534",NA
"1400000US53033012100","Census Tract 121; King County; Washington","972500","63350",NA
"1400000US53033020100","Census Tract 201; King County; Washington","1002900","83347",NA
"1400000US53033020200","Census Tract 202; King County; Washington","814800","57794",NA
"1400000US53033020301","Census Tract 203.01; King County; Washington","715500","90329",NA
"1400000US53033020302","Census Tract 203.02; King County; Washington","804200","61623",NA
"1400000US53033020401","Census Tract 204.01; King County; Washington","660300","42709",NA
"1400000US53033020402","Census Tract 204.02; King County; Washington","770300","72735",NA
"1400000US53033020500","Census Tract 205; King County; Washington","670200","51620",NA
"1400000US53033020600","Census Tract 206; King County; Washington","779700","55495",NA
"1400000US53033020700","Census Tract 207; King County; Washington","779100","53201",NA
"1400000US53033020800","Census Tract 208; King County; Washington","942300","40053",NA
"1400000US53033020900","Census Tract 209; King County; Washington","831900","112128",NA
"1400000US53033021000","Census Tract 210; King County; Washington","718800","46505",NA
"1400000US53033021100","Census Tract 211; King County; Washington","679900","31189",NA
"1400000US53033021300","Census Tract 213; King County; Washington","812800","95546",NA
"1400000US53033021400","Census Tract 214; King County; Washington","886700","45234",NA
"1400000US53033021500","Census Tract 215; King County; Washington","1001400","52890",NA
"1400000US53033021600","Census Tract 216; King County; Washington","833000","44318",NA
"1400000US53033021701","Census Tract 217.01; King County; Washington","950500","92712",NA
"1400000US53033021702","Census Tract 217.02; King County; Washington","556100","214645",NA
"1400000US53033021802","Census Tract 218.02; King County; Washington","949400","149832",NA
"1400000US53033021803","Census Tract 218.03; King County; Washington","896300","41891",NA
"1400000US53033021804","Census Tract 218.04; King County; Washington","831400","71958",NA
"1400000US53033021903","Census Tract 219.03; King County; Washington","882600","49049",NA
"1400000US53033021904","Census Tract 219.04; King County; Washington","927400","39587",NA
"1400000US53033021905","Census Tract 219.05; King County; Washington","756400","95830",NA
"1400000US53033021906","Census Tract 219.06; King County; Washington","957200","57500",NA
"1400000US53033022001","Census Tract 220.01; King County; Washington","1000300","123026",NA
"1400000US53033022003","Census Tract 220.03; King County; Washington","844600","34915",NA
"1400000US53033022005","Census Tract 220.05; King County; Washington","768800","111496",NA
"1400000US53033022006","Census Tract 220.06; King County; Washington","782300","101346",NA
"1400000US53033022101","Census Tract 221.01; King County; Washington","892200","47020",NA
"1400000US53033022102","Census Tract 221.02; King County; Washington","1053500","78191",NA
"1400000US53033022201","Census Tract 222.01; King County; Washington","826300","42332",NA
"1400000US53033022203","Census Tract 222.03; King County; Washington","1124300","103249",NA
"1400000US53033022204","Census Tract 222.04; King County; Washington","935600","63898",NA
"1400000US53033022205","Census Tract 222.05; King County; Washington","795500","81979",NA
"1400000US53033022300","Census Tract 223; King County; Washington","1202000","57361",NA
"1400000US53033022401","Census Tract 224.01; King County; Washington","1513100","172660",NA
"1400000US53033022402","Census Tract 224.02; King County; Washington","2,000,000+","***",NA
"1400000US53033022501","Census Tract 225.01; King County; Washington","1165000","96307",NA
"1400000US53033022502","Census Tract 225.02; King County; Washington","1086600","75749",NA
"1400000US53033022603","Census Tract 226.03; King County; Washington","1006000","84008",NA
"1400000US53033022604","Census Tract 226.04; King County; Washington","1225900","86986",NA
"1400000US53033022605","Census Tract 226.05; King County; Washington","1045000","103616",NA
"1400000US53033022606","Census Tract 226.06; King County; Washington","1078400","66818",NA
"1400000US53033022701","Census Tract 227.01; King County; Washington","1500000","283710",NA
"1400000US53033022702","Census Tract 227.02; King County; Washington","1730300","113119",NA
"1400000US53033022703","Census Tract 227.03; King County; Washington","1428100","195072",NA
"1400000US53033022802","Census Tract 228.02; King County; Washington","992200","121536",NA
"1400000US53033022803","Census Tract 228.03; King County; Washington","1235300","558566",NA
"1400000US53033022804","Census Tract 228.04; King County; Washington","408700","62361",NA
"1400000US53033022805","Census Tract 228.05; King County; Washington","1872000","474035",NA
"1400000US53033022901","Census Tract 229.01; King County; Washington","1179800","43735",NA
"1400000US53033022902","Census Tract 229.02; King County; Washington","1128000","77471",NA
"1400000US53033023000","Census Tract 230; King County; Washington","1184300","63703",NA
"1400000US53033023100","Census Tract 231; King County; Washington","1123000","59407",NA
"1400000US53033023201","Census Tract 232.01; King County; Washington","766000","271597",NA
"1400000US53033023202","Census Tract 232.02; King County; Washington","1001500","143954",NA
"1400000US53033023300","Census Tract 233; King County; Washington","1060100","58302",NA
"1400000US53033023401","Census Tract 234.01; King County; Washington","996700","86448",NA
"1400000US53033023403","Census Tract 234.03; King County; Washington","1129500","39623",NA
"1400000US53033023404","Census Tract 234.04; King County; Washington","1140800","76672",NA
"1400000US53033023500","Census Tract 235; King County; Washington","1352100","186622",NA
"1400000US53033023601","Census Tract 236.01; King County; Washington","1337100","344192",NA
"1400000US53033023603","Census Tract 236.03; King County; Washington","1138500","110817",NA
"1400000US53033023604","Census Tract 236.04; King County; Washington","1069900","149357",NA
"1400000US53033023701","Census Tract 237.01; King County; Washington","1550700","196575",NA
"1400000US53033023702","Census Tract 237.02; King County; Washington","729200","167181",NA
"1400000US53033023801","Census Tract 238.01; King County; Washington","1426000","287171",NA
"1400000US53033023805","Census Tract 238.05; King County; Washington","841400","158220",NA
"1400000US53033023806","Census Tract 238.06; King County; Washington","1018300","172146",NA
